Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
Lenovo,"KSh 19,500","KSh 23,000",,,,Laptops,Lenovo Refurbished Thinkpad T460S Core I5 8GB Ram 256GB SDD,8GB Ram,N/A,N/A,N/A,6th Generation 14Inches
DELL,"KSh 40,000","KSh 63,000",,,4 out of 5(1),Laptops,DELL  Latitude 7400 Intel Core i7 8th Gen 16GB RAM 512GB SSD 14 Inches HD refurbishedDisplay,"16GB RAM, 512GB SSD",N/A,N/A,N/A,
HP,"KSh 20,000","KSh 28,000",,,,Laptops,HP EliteBook 820 G3 Intel Core I7 6th Gen 8GB RAM 256GB SSD 12.5 Inches FHD Display REFURBISHED,"8GB RAM, 256GB SSD",N/A,N/A,N/A,
Lenovo,"KSh 22,500","KSh 30,000",,,,Laptops,Lenovo 8GB RAM 256GB SSD ThinkPad Yoga 11e Refurbished Laptop X360 Touchscreen Webcam Bluetooth,"8GB RAM, 256GB SSD",N/A,N/A,N/A,"HDMI WIFI With Windows 11 PRO Activated, Office 2021 Pro, Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad + Free Extension."
HP,"KSh 26,999","KSh 30,000",,,,Laptops,"HP Refurbished ProBook 440 G5 Core I5 8GB RAM 256GB SSD 14"" 8th Gen Ultra-Slim Laptop + Bag .","8GB RAM, 256GB SSD",N/A,"14""",N/A,
Lenovo,"KSh 46,900","KSh 54,000",,,,Laptops,Lenovo Refurbished Thinkpad T480s Core I7 16GB RAM 512GB SSD Touchscreen 14 Inch FHD 8TH GEN,"16GB RAM, 512GB SSD",N/A,N/A,N/A,6 Months WRTY
HP,"KSh 18,999","KSh 35,000",,,3.8 out of 5(16),Laptops,HP  Refurbished EliteBook 640GB HDD,"640GB HDD, 8GB RAM",N/A,N/A,N/A,"8GB RAM, Intel Core I5, 14'' Windows 11 PRO Activated, Office & Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad"
HP,"KSh 32,999","KSh 45,000",,,4.6 out of 5(5),Laptops,"HP Refurblished EliteBook 755 G5 15.6""AMD Ryzen 7 2700U 16 GB RAM - 256 GB SSD - with radeon graphicsWin 10 Pro (6 Months WRTY)",N/A,N/A,"15.6""",N/A,
HP,"KSh 24,999","KSh 30,000",,,3.5 out of 5(4),Laptops,HP REFURBISHED ProBook X360 11 G2,N/A,N/A,N/A,N/A,"Intel Core I5, 8 GB RAM, 256 GB SSD, 11.6″ HD Touchscreen (1YR WRTY)"
HP,"KSh 23,799","KSh 35,000",,,,Laptops,HP Refurbished EliteBook 840 G3 Core I7 8GB 256GB SSD 6th Gen 14Inch Win 10 Laptop + Free Bag (6 Months WRTY),256GB SSD,N/A,N/A,N/A,
HP,"KSh 34,999","KSh 45,000",,,,Laptops,HP Refurbished Elitebook 840 G5 8th Generation Core I7,"8GB RAM, 256GB SSD",N/A,"14""",N/A,(6 Months WRTY)
HP,"KSh 169,900","KSh 250,000",,,,Laptops,HP Spectre x360 14-ef2013dx Intel Core i7 13th Gen 16GB RAM 512GB SSD 13.5 WUXGA+ Multi-Touch IPS Display Intel Iris Xe GPU Windows 11 High-End Laptop - Nightfall Black,"16GB RAM, 512GB SSD",N/A,N/A,N/A,
